,Carrera,carrera_id
264,obstetricia y puericultura,264
265,obstetricia/ tecnología médica,265
266,obstetrícia,266
267,obstetrícia y puericultura,267
268,obstettricia y puericultura,268
269,obtetricia y puericultura,269
270,odontologia,270
271,odontología,271
272,odontólogo y piloto,272
273,oficial de ejército,273
274,ostetricia y puericultura,274
275,other1,275
276,other2,276
277,otra,277
278,otra carrera,278
279,otro,279
280,otros,280
281,paisajismo,281
282,pdi,282
283,pedagogia basica,283
284,pedagogia basica bilingue ingles / español,284
285,pedagogia básica,285
286,pedagogia media en biologia,286
287,pedagogia media en fisica,287
288,pedagogía,288
289,pedagogía basica bilingüe,289
290,pedagogía básica,290
291,pedagogía básica bilingüe inglés / español,291
292,pedagogía básica bilingüe inglés/ español,292
293,pedagogía básica bilingüe inglés/español,293
294,pedagogía en educación fisica,294
295,pedagogía en educación física,295
296,pedagogía en educación parvularia,296
297,pedagogía en lengua castellana y comunicación,297
298,pedagogía en lenguaje y comunicación,298
299,pedagogía en matemática y computación,299
300,pedagogía en matemáticas,300
301,pedagogía media,301
302,pedagogía media en lenguaje,302
303,pediatría,303
304,pedágogía básica bilingüe,304
305,pegagogía básica con menciones,305
306,periodismo,306
307,preparador físico,307
308,prevención de riesgos,308
309,programación y base de datos,309
310,psicologia,310
311,psicologia/ college sociales,311
312,psicología,312
313,psicopedagogía,313
314,psiquiatría,314
315,psu química,315
316,publicidad,316
317,quimica farmacia,317
318,quimica y farmacia,318
319,química,319
320,química farmaceutica,320
321,química farmaceútica,321
322,química industrial,322
323,química y farmaceútica,323
324,química y farmacia,324
325,química y farmacéutica,325
326,química/farmacia,326
327,relaciones públicas,327
328,salud,328
329,sin especificar,329
330,sociología,330
331,teatro,331
332,tecnología,332
333,tecnología medica,333
334,tecnología médica,334
335,terapia ocupacinal,335
336,terapia ocupacional,336
337,textil,337
338,trabajo social,338
339,traduccción e interpretación bilingüe,339
340,traducción en idiomas extranjeros,340
341,traducción-idiomas,341
342,turismo,342
343,técnicos profesionales,343
344,urología,344
345,veterinaria,345
