,Colegio,colegio_id
248,complejo educ. stella maris,248
249,complejo educ. un amanecer en la araucania,249
250,concepcion,250
251,concepcion chiguayante,251
252,concepcion san pedro,252
253,concepcion talca,253
254,concordia,254
255,confederacion suiza ,255
256,consolidada ,256
257,continental,257
258,corazon de maria,258
259,cordillera,259
260,cordillera ,260
261,coronel eleuterio ramirez m.,261
262,coya ,262
263,coyancura ,263
264,craighouse,264
265,creacion la araucana,265
266,creacion osorno ,266
267,creces ,267
268,cristiano,268
269,cristiano emmanuel ,269
270,cristobal colon,270
271,cumbres ,271
272,cumbres del choapa,272
273,curacavi college ,273
274,curimon,274
275,da vinci,275
276,dalcahue ,276
277,dario salas,277
278,de adultos galileo,278
279,de adultos instituto icel,279
280,de adultos instituto nuevo bilbao,280
281,de adultos instituto tabancura,281
282,de adultos san andres,282
283,de humanidades ,283
284,de la preciosa sangre,284
285,de la salle,285
286,de los sagrados corazones padres franceses,286
287,de maipo,287
288,de musica juan sebastian bach,288
289,del alba,289
290,del real,290
291,del valle,291
292,desiree,292
293,deutsche schule,293
294,divina pastora,294
295,domingo faustino sarmiento ,295
296,domingo ortiz de rozas,296
297,domingo santa maria,297
298,domus mater ,298
299,don orione,299
300,don orione quintero,300
301,dunalastair,301
302,dunalastair valle norte,302
303,eagles college,303
304,ecologico montessori,304
305,ecologico paine,305
306,el alba ,306
307,el almendro,307
308,el arrayan,308
309,el bosque provincia cordillera,309
310,el carmen teresiano,310
311,el pequeno mozart,311
312,el prado,312
313,el redentor,313
314,el roble,314
315,el rosario,315
316,el sembrador,316
317,elena bettini,317
318,elvira hurtado de matte,318
319,emmanuel high school,319
320,english college,320
321,enrique alvear,321
322,epullay ,322
323,esc basica part emilia gonzalez espinoza,323
324,esc. agricola salesiana don bosco,324
325,esc. agricola san jose de duao,325
326,esc. arturo alessandri palma,326
327,esc. bas.talleres prevoc.hogar de cristo,327
328,esc. basica juan pablo duarte,328
329,esc. basica madre de jesus,329
330,esc. basica municipal paula jaraquemada alqui,330
331,esc. basica pablo apostol ,331
332,esc. basica partic.saint maurices,332
333,esc. basica republica de ecuador,333
334,esc. basica san gennaro,334
335,esc. basica the forest college anexo,335
336,esc. basica weston academy,336
337,esc. dario salas,337
338,esc. de administracion y comercio humanista,338
339,esc. de adultos jorge alessandri rodriguez,339
340,esc. de artes y musica,340
341,esc. de la industria grafica hector go,341
342,esc. industrial san vicente de paul,342
343,esc. jorge alessandri rodriguez,343
344,esc. liceo madre vicencia,344
345,esc. luis arrieta canas,345
346,esc. madre ana eugenia,346
347,esc. particular rosario concha,347
348,esc. particular ruben dario,348
349,esc. patrona de lourdes,349
350,esc. pdte.jose j.prieto,350
351,esc. poeta pablo neruda,351
352,esc. premilitar heroes de la concepcion,352
353,esc. raimapu tierra,353
354,esc. rosa elvira matte de prieto,354
355,esc. rudolf deck werth,355
356,esc. santa cruz,356
357,esc. santa joaquina de vedruna,357
358,esc. tecnica las nieves,358
359,esc. y liceo liahona,359
360,esc. y liceo paulina von mallinckrodt,360
361,escuela bas. alfredo dreyse belser,361
362,escuela bas. san jose de penalolen,362
363,escuela basica boston college de san bernardo,363
364,escuela basica denham school,364
365,escuela basica eliodoro matte ossa,365
366,escuela basica fco. varela,366
367,escuela basica nº312 molokai,367
368,escuela basica palmares oriente,368
369,escuela bellavista,369
370,escuela del cariño kimeltuwe,370
371,escuela domingo ortiz de rozas,371
372,escuela edmundo vidal cardenas,372
373,escuela internacional de lideres,373
374,escuela luis cruz martines,374
375,escuela nuestra señora del carmen,375
376,escuela part. regina mundi,376
377,escuela part. santa maria de guadalupe,377
378,escuela partic parroquial domingo savio,378
379,escuela particular frings college,379
380,escuela particular madre admirable,380
381,escuela particular miguel de cervantes,381
382,escuela san sebastian,382
383,españa,383
384,estela segura,384
385,etchegoyen,385
386,etievan,386
387,evelyns school ,387
388,everest ,388
389,excelsior ,389
390,experimental jorge peña h. ,390
391,extremadura,391
392,familia de nazareth,392
393,farmland school,393
394,filipense,394
395,florida high school,395
396,ford college,396
397,forjadores ,397
398,franciscano maria reina ,398
399,francisco arriaran,399
400,francisco de asis,400
401,francisco de asis de belen,401
402,francisco de miranda,402
403,francisco encina,403
404,froilan yañez de la barra,404
405,fundacion educ col. femenino madre del rosario,405
406,gabriela mistral,406
407,general jose velasquez borquez,407
408,germania del verbo divino,408
409,geronimo rendic,409
410,gladys lazo,410
411,grace college,411
412,grace school,412
413,green house school,413
414,greenland school ,414
415,guillermo labarca,415
416,hans christian andersen,416
417,hellens college,417
418,hermano eugenio eyraud,418
419,hermanos carrera de chile,419
420,heroes de maipu,420
421,highlands,421
422,hispano ,422
423,hispano americano,423
424,hispano americano rio viejo,424
425,hispano britanico,425
426,hispano chileno el pilar ,426
427,hispanoamericano,427
428,hrvatska skola san esteban,428
429,huelen,429
430,huinganal,430
431,humberstone,431
432,idop limitada,432
433,industrial don orione,433
434,ingles,434
435,ingles catolico,435
436,ingles de talca,436
437,ingles isaac newton,437
438,ingles saint john,438
439,ingles san jose de linderos,439
440,inmaculada concepcion,440
441,inmaculada concepcion sra. de lourdes,441
442,institucion teresiana,442
443,instituto abdon cifuentes,443
444,instituto aleman,444
445,instituto aleman carlos anwandter,445
446,instituto alonso de ercilla,446
447,instituto america,447
448,instituto andres bello,448
449,instituto bicentenario jose miguel carrera,449
450,instituto calera de tango,450
451,instituto camilo henriquez ,451
452,instituto chacabuco,452
453,instituto ciec,453
454,instituto claret,454
455,instituto com. alberto valenzuela llanos,455
456,instituto comercial blas cañas,456
457,instituto comercial eliodoro dominguez,457
458,instituto corintio,458
459,instituto cristiano edumaster college,459
460,instituto cristiano luis gandarillas,460
461,instituto cumbre de condores,461
462,instituto de educacion para el adulto,462
463,instituto de enseñanza media claudio matte,463
464,instituto de humanidades luis campino,464
465,instituto de tabancura,465
466,instituto del pacifico,466
467,instituto domingo eyzaguirre,467
468,instituto hebreo dr. chaim weizmann-ort,468
469,instituto hermanos matte,469
470,instituto humanidades alfredo silva,470
471,instituto humanidades san francisco de asis,471
472,instituto industrial superior,472
473,instituto la salle,473
474,instituto latinoamericano europeo de,474
475,instituto linares,475
476,instituto miguel leon prado,476
477,instituto monseñor lecaros,477
478,instituto obispo silva lezaeta,478
479,instituto ohiggins,479
480,instituto pdte. errazuriz,480
481,instituto politec. san miguel arcangel,481
482,instituto politecnico maria auxiliadora,482
483,instituto rafael ariztia,483
484,instituto regional de educacion,484
485,instituto sagrada familia,485
486,instituto sagrado corazon,486
487,instituto san alberto hurtado,487
488,instituto san fernando,488
489,instituto san martin,489
490,instituto san pablo misionero,490
491,instituto santa maria,491
492,instituto santa marta,492
493,instituto subtte. luis cruz martinez,493
494,instituto superior de comercio,494
495,instituto superior de comercio diego portales,495
496,instituto superior de comercio eduardo frei m.,496
497,instituto talagante,497
498,instituto tecnologico del sur,498
499,instituto tecnologico san mateo,499
500,integral arturo prat,500
501,intercultural trememn,501
502,internacional alba,502
503,internacional antofagasta,503
504,internacional sek austral,504
505,internacional sek chile,505
506,internacional sek del pacifico,506
507,internado aleman,507
508,internado nacional barros arana,508
509,international country school,509
510,isabel la catolica,510
511,itahue,511
512,jacques cousteau,512
513,jerusalen de lampa,513
514,john andrews adventist academy ,514
515,john dewey college,515
516,jorge huneeus zegers,516
517,jorge prieto letelier,517
518,jose abelardo nuñez murua,518
519,jose agustin alfonso,519
520,jose agustin gomez,520
521,jose luis lagrange,521
522,jose manuel balmaceda,522
523,josefino santisima trinidad,523
524,juan pablo ii,524
525,juan salvador college,525
526,jugendland schule,526
527,junior college,527
528,kendal english school,528
529,kimen montessori,529
530,king edwards school i,530
531,king school cordillera,531
532,kings school,532
533,kingston college,533
534,la abadia,534
535,la concepcion,535
536,la cruz,536
537,la girouette,537
538,la maisonnette,538
539,la mision,539
540,la virgen de pompeya,540
541,laico,541
542,larrain,542
543,las acacias,543
544,las americas,544
545,latinoamericano,545
546,latinoamericano de integracion,546
547,le monde,547
548,leonardo da vinci,548
549,liahona cordillera,549
550,libertador o´higgins,550
551,libertador simon bolivar,551
552,licarayen,552
553,liceo 131,553
