Colegio,lat,lon
manquecura valle lo campino/ quilicura,-33.387741,-70.7242692
liceo rafael sotomayor/ las condes,-33.3951394,-70.5549215
american academy/ san bernardo,-33.6021636,-70.6993356
liceo nº7 de niñas/ providencia,,
san pedro nolasco/ vitacura,-33.3973313,-70.5724448
esc. particular ruben dario/ maipu,,
liceo alexander fleming/ las condes,,
claudio matte/ la granja,-33.5567212,-70.6242338
san esteban diacono/ vitacura,-33.382874,-70.5536226
nueva era siglo xxi/ la florida,,
adventista/ antofagasta,-23.6460548,-70.3956206
centro ed. rousseau / maipu,,
arturo toro amor/ independecia,,
maria auxiliadora/ santiago,-33.4590096,-70.6438196
emmanuel high school/ la florida,-33.5266955,-70.5837114
san jorge de las condes/ las condes,-33.3853345,-70.5356202
otro colegio,,
antartica chilena / vitacura,-33.3896062,-70.5595977
c.e.i.a altazol/ santiago,,
liceo alto cordillera/ la florida,-33.5643243,-70.5549704
liceo marta donoso espejo/ talca,-35.4232374,-71.6572859
mirador / puente alto,-34.8463518,-72.0164084
nido de aguilas/ lo barnechea,-33.353552,-70.5047613
san fernando college/ san fernando,-34.5819609,-70.9872814
larrain/ la reina,-33.452605,-70.5618886
boston college / huechuraba,,
el redentor/ maipu,-33.5477145,-70.7721026
instituto ohiggins/maipu,,
san felipe diacono/ calera de tango,-33.5839866,-70.7779588
complejo educ. / la reina,,
southern college/ los angeles,-37.473022,-72.3710587
los aromos/ puente alto,-33.5622923,-70.5318595
arabe/las condes,-33.4114666,-70.5673648
araucaria cordillera/ puente alto,-33.6044887,-70.5717819
nueva era siglo xxi/ puente alto,-33.6022301,-70.5877136
jacques cousteau/ maipu,-33.5421064,-70.7692289
esc. basica weston academy/ quilicura,,
alcantara de la cordillera/ la florida,-33.5219981,-70.5861619
liceo ruiz tagle/ estacion central,-33.4639523,-70.6945126
santa maria/ santiago,-33.4519888,-70.6439239
instituto chacabuco/ los andes,-32.829979,-70.5947865
windsor school/ valdivia,-39.8333309,-73.2422542
san damian/ la florida,-33.5390184,-70.5571125
almondale / san pedro de la paz,-36.8341639,-73.1030861
liceo polivalente arturo alessandri/ providencia,-33.4461781,-70.6311196
instituto calera de tango/ calera de tango,-33.5907366,-70.7915494
instituto obispo silva lezaeta/ calama,-22.4699063,-68.9275687
complejo educ. monseñor guillermo hartl/ pitrufquen,,
liceo yobilo/ coronel,-37.0072007,-73.153558
liceo poliv. abdon cifuentes/ conchali,,
san gabriel arcangel/ los angeles,-37.4642598,-72.3393032
liceo maximiliano salas marchan/ los andes,-32.8366233,-70.6007848
liceo jose toribio medina/ ñuñoa,-33.4538087,-70.6117504
instituto cumbre de condores/ renca,-33.4042368,-70.7025631
redland school/ las condes,-33.4022009,-70.5210612
portaliano/ san felipe,-32.7544104,-70.7264554
santa rosa / san miguel,-33.4768911,-70.642263
liceo comercial joaquin vera morales/ santiago,,
san juan evangelista/ las condes,-33.4157046,-70.5633923
boston college alto macul/ la florida,-33.512354,-70.5351388
san ignacio el bosque/ providencia,-33.4329021,-70.5943716
cumbres del choapa/ salamanca,-31.7874881,-70.9630448
montessori huelquen/ lo barnechea,-33.3510336,-70.5044242
san benildo/ recoleta,-33.4067548,-70.6527333
saint louis school/ maipu,-33.5623686,-70.7743405
new little college/ la florida,,
